;titles;years;category
0;Unsupervised image-to-image translation networks; 2017 ;Image-to-Image Translation
1;Deep generative adversarial networks for image-to-image translation: A review; 2020 ;Image-to-Image Translation
2;Multimodal unsupervised image-to-image translation; 2018 ;Image-to-Image Translation
3;Toward multimodal image-to-image translation; 2017 ;Image-to-Image Translation
4;Image to image translation for domain adaptation; 2018 ;Image-to-Image Translation
5;Conditional image-to-image translation; 2018 ;Image-to-Image Translation
6;Image-to-image translation: Methods and applications; 2021 ;Image-to-Image Translation
7;Few-shot unsupervised image-to-image translation; 2019 ;Image-to-Image Translation
8;Image-to-image translation with conditional adversarial networks; 2017 ;Image-to-Image Translation
9;Dualgan: Unsupervised dual learning for image-to-image translation; 2017 ;Image-to-Image Translation
10;Encoding in style: a stylegan encoder for image-to-image translation; 2021 ;Image-to-Image Translation
11;Instagan: Instance-aware image-to-image translation; 2018 ;Image-to-Image Translation
12;Contrastive learning for unpaired image-to-image translation; 2020 ;Image-to-Image Translation
13;Diverse image-to-image translation via disentangled representations; 2018 ;Image-to-Image Translation
14;Stargan: Unified generative adversarial networks for multi-domain image-to-image translation; 2018 ;Image-to-Image Translation
15;Unsupervised attention-guided image-to-image translation; 2018 ;Image-to-Image Translation
16;Rethinking the truly unsupervised image-to-image translation; 2021 ;Image-to-Image Translation
17;Image-to-image translation for cross-domain disentanglement; 2018 ;Image-to-Image Translation
18;Drit++: Diverse image-to-image translation via disentangled representations; 2020 ;Image-to-Image Translation
19;Transgaga: Geometry-aware unsupervised image-to-image translation; 2019 ;Image-to-Image Translation
20;Tsit: A simple and versatile framework for image-to-image translation; 2020 ;Image-to-Image Translation
21;Dual contrastive learning for unsupervised image-to-image translation; 2021 ;Image-to-Image Translation
22;Unsupervised image-to-image translation with generative adversarial networks; 2017 ;Image-to-Image Translation
23;Reusing discriminators for encoding: Towards unsupervised image-to-image translation; 2020 ;Image-to-Image Translation
24;Dunit: Detection-based unsupervised image-to-image translation; 2020 ;Image-to-Image Translation
25;Overview of image-to-image translation by use of deep neural networks: denoising, super-resolution, modality conversion, and reconstruction in medical imaging; 2019 ;Image-to-Image Translation
26;Relgan: Multi-domain image-to-image translation via relative attributes; 2019 ;Image-to-Image Translation
27;Smit: Stochastic multi-label image-to-image translation; 2019 ;Image-to-Image Translation
28;Travelgan: Image-to-image translation by transformation vector learning; 2019 ;Image-to-Image Translation
29;Towards instance-level image-to-image translation; 2019 ;Image-to-Image Translation
30;Unrestricted facial geometry reconstruction using image-to-image translation; 2017 ;Image-to-Image Translation
31;Unpaired image-to-image translation using cycle-consistent adversarial networks; 2017 ;Image-to-Image Translation
32;Guided image-to-image translation with bi-directional feature transformation; 2019 ;Image-to-Image Translation
33;CoMoGAN: continuous model-guided image-to-image translation; 2021 ;Image-to-Image Translation
34;Improving shape deformation in unsupervised image-to-image translation; 2018 ;Image-to-Image Translation
35;Image-to-image translation via hierarchical style disentanglement; 2021 ;Image-to-Image Translation
36;[HTML] MRI cross-modality image-to-image translation; 2020 ;Image-to-Image Translation
37;Xgan: Unsupervised image-to-image translation for many-to-many mappings; 2020 ;Image-to-Image Translation
38;Multi-mapping image-to-image translation via learning disentanglement; 2019 ;Image-to-Image Translation
39;Unsupervised multi-modal image registration via geometry preserving image-to-image translation; 2020 ;Image-to-Image Translation
40;Domain adaptive image-to-image translation; 2020 ;Image-to-Image Translation
